ticket_id,hub,function,channel,created_datetime,resolved_datetime,status,priority,sla_target_hours,assigned_agent_id,requester_department,category,csat_score,reopened_flag,year_month,month_name,resolution_time_hours,sla_met,csat_score_clean,csat_high,csat_low,csat_has_score,is_backlog,was_reopened
TCK-2001,A,IT,Phone,2025-10-08 11:15:00,,Open,Medium,24,AG-001,Marketing,Software Install,,0,2025-10,October 2025,,,0.0,False,False,False,True,False
TCK-2002,A,IT,Portal,2025-10-07 11:00:00,2025-10-09 08:00:00,Closed,Medium,24,AG-003,Sales,Software Install,1.0,0,2025-10,October 2025,45.0,False,1.0,False,True,True,False,False
TCK-2003,A,Finance,Chat,2025-10-11 12:15:00,2025-10-11 19:15:00,Resolved,Medium,24,AG-004,Corporate,Invoice Dispute,3.0,0,2025-10,October 2025,7.0,True,3.0,False,False,True,False,False
TCK-2004,A,Finance,Chat,2025-10-18 09:45:00,2025-10-20 02:45:00,Resolved,High,8,AG-004,Marketing,Reimbursement,,1,2025-10,October 2025,41.0,False,0.0,False,False,False,False,True
TCK-2005,A,HR,Portal,2025-10-28 11:00:00,2025-10-30 17:00:00,Closed,Medium,24,AG-002,Sales,Policy Clarification,3.0,0,2025-10,October 2025,54.0,False,3.0,False,False,True,False,False
TCK-2006,A,Finance,Email,2025-10-18 11:15:00,2025-10-20 23:15:00,Closed,High,8,AG-004,Operations,Invoice Dispute,1.0,0,2025-10,October 2025,60.0,False,1.0,False,True,True,False,False
TCK-2007,B,HR,Portal,2025-10-07 17:30:00,2025-10-10 02:30:00,Resolved,Medium,24,AG-006,Sales,Policy Clarification,5.0,0,2025-10,October 2025,57.0,False,5.0,True,False,True,False,False
TCK-2008,B,Finance,Chat,2025-10-12 11:15:00,2025-10-12 15:15:00,Closed,Critical,4,AG-007,Sales,Reimbursement,,0,2025-10,October 2025,4.0,True,0.0,False,False,False,False,False
TCK-2009,A,HR,Chat,2025-10-20 15:30:00,,In Progress,Low,48,AG-002,Engineering,Benefits Query,,0,2025-10,October 2025,,,0.0,False,False,False,True,False
TCK-2010,B,Finance,Phone,2025-10-04 12:45:00,2025-10-06 11:45:00,Resolved,Critical,4,AG-007,Marketing,Reimbursement,1.0,0,2025-10,October 2025,47.0,False,1.0,False,True,True,False,False
TCK-2011,B,Finance,Email,2025-10-05 13:15:00,2025-10-06 23:15:00,Closed,Medium,24,AG-007,Marketing,Vendor Payment,1.0,0,2025-10,October 2025,34.0,False,1.0,False,True,True,False,False
TCK-2012,B,IT,Portal,2025-10-08 17:00:00,2025-10-08 22:00:00,Resolved,Medium,24,AG-005,Sales,Software Install,,0,2025-10,October 2025,5.0,True,0.0,False,False,False,False,False
TCK-2013,B,IT,Email,2025-10-23 12:45:00,,In Progress,Medium,24,AG-005,Marketing,Software Install,,0,2025-10,October 2025,,,0.0,False,False,False,True,False
TCK-2014,A,IT,Email,2025-10-03 13:00:00,2025-10-04 04:00:00,Closed,High,8,AG-001,Engineering,Network Outage,1.0,0,2025-10,October 2025,15.0,False,1.0,False,True,True,False,False
TCK-2015,A,Finance,Email,2025-10-09 18:45:00,2025-10-12 06:45:00,Resolved,High,8,AG-004,Sales,Budget Access,,0,2025-10,October 2025,60.0,False,0.0,False,False,False,False,False
TCK-2016,A,Finance,Chat,2025-10-12 14:45:00,2025-10-14 10:45:00,Closed,Medium,24,AG-004,Engineering,Budget Access,,0,2025-10,October 2025,44.0,False,0.0,False,False,False,False,False
TCK-2017,A,IT,Email,2025-10-07 16:45:00,2025-10-08 22:45:00,Resolved,High,8,AG-001,Engineering,Software Install,,0,2025-10,October 2025,30.0,False,0.0,False,False,False,False,False
TCK-2018,A,IT,Portal,2025-10-03 11:15:00,2025-10-05 19:15:00,Closed,Medium,24,AG-003,Engineering,Laptop Issue,4.0,0,2025-10,October 2025,56.0,False,4.0,True,False,True,False,False
TCK-2019,B,HR,Chat,2025-10-23 16:45:00,2025-10-23 20:45:00,Resolved,High,8,AG-006,Operations,Payroll Query,4.0,0,2025-10,October 2025,4.0,True,4.0,True,False,True,False,False
TCK-2020,A,IT,Portal,2025-10-28 10:00:00,2025-10-29 02:00:00,Closed,Medium,24,AG-003,Engineering,Email Issue,5.0,1,2025-10,October 2025,16.0,True,5.0,True,False,True,False,True
TCK-2021,A,HR,Phone,2025-10-09 11:30:00,2025-10-11 06:30:00,Resolved,Medium,24,AG-002,Corporate,Policy Clarification,,0,2025-10,October 2025,43.0,False,0.0,False,False,False,False,False
TCK-2022,A,HR,Portal,2025-10-03 16:15:00,2025-10-04 15:15:00,Closed,High,8,AG-002,Sales,Policy Clarification,4.0,0,2025-10,October 2025,23.0,False,4.0,True,False,True,False,False
